Indice;Film;Oscar Year;Film Studio/Producer(s);Award;Year of Release;Movie Time;Movie Genre;Tomatometer Status;Tomatometer Rating;Tomatometer Count;Audience Status;Audience Rating;Audience Count
446;Brokeback Mountain;2005;Diana Ossana and James Schamus;Nominee;2005;134;Drama,Romance;Certified-Fresh;87.0;246.0;Upright;82.0;519853.0
447;Capote;2005;Caroline Baron, William Vince, and Michael Ohoven;Nominee;2005;114;Biography,Crime,Drama;Certified-Fresh;90.0;196.0;Upright;82.0;115946.0
448;Good Night, and Good Luck;2005;Grant Heslov;Nominee;2005;93;Biography,Drama,History;;;;;;
449;Munich;2005;Steven Spielberg, Kathleen Kennedy, and Barry Mendel;Nominee;2005;164;Action,Drama,History;Certified-Fresh;78.0;210.0;Upright;83.0;330206.0
450;The Departed;2006;Graham King;Winner;2006;151;Crime,Drama,Thriller;Certified-Fresh;91.0;280.0;Upright;94.0;737806.0
451;Babel;2006;Alejandro GonzÃ¡lez IÃ±Ã¡rritu, Steve Golin, and Jon Kilik;Nominee;2006;143;Drama;Fresh;69.0;200.0;Upright;77.0;377310.0
452;Letters from Iwo Jima;2006;Clint Eastwood, Steven Spielberg, and Robert Lorenz;Nominee;2006;141;Action,Adventure,Drama;;;;;;
453;Little Miss Sunshine;2006;David T. Friendly, Peter Saraf, and Marc Turtletaub;Nominee;2006;101;Comedy,Drama;Certified-Fresh;91.0;218.0;Upright;91.0;427127.0
454;The Queen;2006;Andy Harries, Christine Langan, and Tracey Seaward;Nominee;2006;103;Biography,Drama,History;Certified-Fresh;96.0;198.0;Upright;76.0;175607.0
455;No Country for Old Men;2007;Scott Rudin, Joel Coen, and Ethan Coen;Winner;2007;122;Crime,Drama,Thriller;Certified-Fresh;93.0;287.0;Upright;86.0;399154.0
456;Atonement;2007;Tim Bevan, Eric Fellner, and Paul Webster;Nominee;2007;123;Drama,Mystery,Romance;Certified-Fresh;83.0;217.0;Upright;80.0;227149.0
457;Juno;2007;Lianne Halfon, Mason Novick, and Russell Smith;Nominee;2007;96;Comedy,Drama;Certified-Fresh;94.0;216.0;Upright;88.0;549481.0
458;Michael Clayton;2007;Jennifer Fox, Kerry Orent, and Sydney Pollack;Nominee;2007;119;Crime,Drama,Mystery;Certified-Fresh;91.0;203.0;Upright;69.0;299971.0
459;There Will Be Blood;2007;Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar;Nominee;2007;158;Drama;Certified-Fresh;92.0;236.0;Upright;86.0;255192.0
460;Slumdog Millionaire;2008;Christian Colson;Winner;2008;120;Drama,Romance;Certified-Fresh;91.0;288.0;Upright;90.0;1155769.0
461;The Curious Case of Benjamin Button;2008;Kathleen Kennedy, Frank Marshall, and CeÃ¡n Chaffin;Nominee;2008;166;Drama,Fantasy,Romance;Certified-Fresh;72.0;254.0;Upright;80.0;690720.0
462;Frost/Nixon;2008;Ron Howard, Brian Grazer, and Eric Fellner;Nominee;2008;122;Biography,Drama,History;;;;;;
463;Milk;2008;Bruce Cohen and Dan Jinks;Nominee;2008;128;Biography,Drama;Certified-Fresh;93.0;244.0;Upright;89.0;178019.0
464;The Reader;2008;Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris;Nominee;2008;124;Drama,Romance;Fresh;63.0;202.0;Upright;79.0;206910.0
465;The Hurt Locker;2009;Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro;Winner;2008;131;Drama,Thriller,War;;;;;;
466;Avatar;2009;James Cameron and Jon Landau;Nominee;2009;162;Action,Adventure,Fantasy;Certified-Fresh;82.0;317.0;Upright;82.0;1382566.0
467;The Blind Side;2009;Gil Netter, Andrew A. Kosove, and Broderick Johnson;Nominee;2009;129;Biography,Drama,Sport;Fresh;66.0;204.0;Upright;85.0;431835.0
468;District 9;2009;Peter Jackson and Carolynne Cunningham;Nominee;2009;112;Action,Sci-Fi,Thriller;Certified-Fresh;90.0;312.0;Upright;82.0;1178535.0
469;An Education;2009;Finola Dwyer and Amanda Posey;Nominee;2009;100;Drama;;;;;;
470;Inglourious Basterds;2009;Lawrence Bender;Nominee;2009;153;Adventure,Drama,War;Certified-Fresh;89.0;329.0;Upright;88.0;775878.0
471;Precious: Based on the Novel 'Push' by Sapphire;2009;Lee Daniels, Sarah Siegel-Magness, and Gary Magness;Nominee;2009;110;Drama;;;;;;
472;A Serious Man;2009;Joel Coen and Ethan Coen;Nominee;2009;106;Comedy,Drama;Certified-Fresh;90.0;223.0;Upright;68.0;63118.0
473;Up;2009;Jonas Rivera;Nominee;2009;96;Animation,Adventure,Comedy;Certified-Fresh;98.0;296.0;Upright;90.0;1204027.0
